dataset,split,subset,example_id,num_choices,pair_count,mean_cosine,min_cosine,max_cosine,std_cosine
arc,train,ARC-Easy,Mercury_7220990,4,6,0.11746191543837388,0.007000967860221863,0.2322206199169159,0.09404825725402534
arc,train,ARC-Easy,MCAS_2007_8_5189,4,6,0.3335646986961365,0.1447942554950714,0.5788125991821289,0.12973086503146625
arc,train,ARC-Easy,Mercury_SC_401169,4,6,0.4350277731815974,0.2853389382362366,0.5767499208450317,0.09925460161758375
arc,train,ARC-Easy,MCAS_2004_8_27,4,6,0.17455272562801838,0.028317611664533615,0.278942346572876,0.07871661211107922
arc,train,ARC-Easy,NYSEDREGENTS_2006_8_10,4,6,0.4344724814097087,0.3301238417625427,0.5975979566574097,0.0969694619368631
arc,train,ARC-Easy,Mercury_7013388,4,6,0.20844277491172156,0.06319795548915863,0.3353676497936249,0.09156653743980815
arc,train,ARC-Easy,Mercury_7179953,4,6,0.621010035276413,0.37819963693618774,0.7451882362365723,0.12990787764602735
arc,train,ARC-Easy,Mercury_7205118,4,6,0.44074063499768573,0.340440034866333,0.5185330510139465,0.06443985349579891
arc,train,ARC-Easy,MCAS_2016_8_13,4,6,0.4376157720883687,0.323478639125824,0.6486867666244507,0.10946507967074234
arc,train,ARC-Easy,Mercury_7283255,4,6,0.3322705825169881,0.2361539602279663,0.414412260055542,0.06667239653640841
arc,train,ARC-Easy,MCAS_2005_5_29,4,6,0.29306119432051975,0.16713693737983704,0.7231325507164001,0.19415934341529775
arc,train,ARC-Easy,MCAS_2001_8_7,4,6,0.3972468823194504,0.31834012269973755,0.5311528444290161,0.06840462340258056
arc,train,ARC-Easy,Mercury_SC_400329,4,6,0.6004324555397034,0.49785876274108887,0.7559787631034851,0.08646316785314684
arc,train,ARC-Easy,Mercury_SC_407440,4,6,0.3537999987602234,0.2226467728614807,0.49542972445487976,0.08934344686838014
arc,train,ARC-Easy,MCAS_2016_8_7,4,6,0.4816044469674428,0.33435529470443726,0.7231325507164001,0.16118744091917991
arc,train,ARC-Easy,MEA_2016_8_8,4,6,0.8653182486693064,0.810405969619751,0.932925283908844,0.03689014124151627
arc,train,ARC-Easy,Mercury_SC_400124,4,6,0.7656394441922506,0.725034236907959,0.8094037771224976,0.03433319139855077
arc,train,ARC-Easy,Mercury_405944,4,6,0.6816117465496063,0.5937891602516174,0.7598333358764648,0.056148519184881306
arc,train,ARC-Easy,Mercury_SC_405129,4,6,0.6351265013217926,0.5145360231399536,0.8079372048377991,0.1184430600515516
arc,train,ARC-Easy,NYSEDREGENTS_2011_8_4,4,6,0.3947809437910716,0.31834012269973755,0.49722152948379517,0.06953712011293509
arc,train,ARC-Easy,Mercury_SC_406063,4,6,0.2220024118820826,0.12284459173679352,0.32672441005706787,0.06542833199701954
arc,train,ARC-Easy,Mercury_412056,4,6,0.7052241265773773,0.5905977487564087,0.8324867486953735,0.07668936565489064
arc,train,ARC-Easy,Mercury_7016590,4,6,0.3827519441644351,0.207090362906456,0.562715470790863,0.13455135903724055
arc,train,ARC-Easy,Mercury_7148628,4,6,0.26708755517999333,0.10010375827550888,0.4713972806930542,0.12471664074096321
arc,train,ARC-Easy,NYSEDREGENTS_2007_8_7,4,6,0.39471833904584247,0.265714168548584,0.48606520891189575,0.08771380774065615
arc,train,ARC-Easy,CSZ10336,4,6,0.31693290174007416,0.19106435775756836,0.3912985920906067,0.08900146102603083
arc,train,ARC-Easy,Mercury_7109393,4,6,0.1928590163588524,0.14958100020885468,0.22447511553764343,0.02916594593543713
arc,train,ARC-Easy,Mercury_SC_LBS10953,4,6,0.2967461471756299,0.22927801311016083,0.41612136363983154,0.06367808101636527
arc,train,ARC-Easy,NCEOGA_2013_5_8,4,6,0.7509732147057852,0.6850818395614624,0.9067213535308838,0.07368413469161551
arc,train,ARC-Easy,Mercury_7017763,4,6,0.5469814042250315,0.44325128197669983,0.6295820474624634,0.07627715766210992
arc,train,ARC-Easy,MCAS_1999_4_29,4,6,0.2605403463045756,0.17881061136722565,0.4841616153717041,0.10579963519177965
arc,train,ARC-Easy,NYSEDREGENTS_2011_8_20,4,6,0.9913195967674255,0.987019956111908,0.9939315319061279,0.0023281784489740066
arc,train,ARC-Easy,VASoL_2009_5_4,4,6,0.7710579633712769,0.6992855072021484,0.9902006983757019,0.10120882036150475
arc,train,ARC-Easy,NYSEDREGENTS_2005_8_9,4,6,0.09113202197477221,-0.0002200668677687645,0.2463008016347885,0.0780426141416417
arc,train,ARC-Easy,NAEP_2011_8_S11+3,4,6,0.4403977443774541,0.3941369950771332,0.497254341840744,0.038105680761381024
arc,train,ARC-Easy,Mercury_7018305,4,6,0.7669117351373037,0.7224700450897217,0.8291667103767395,0.032064584455776104
arc,train,ARC-Easy,Mercury_7145250,4,6,0.4135684122641881,0.30459165573120117,0.6262325048446655,0.1082678141669787
arc,train,ARC-Easy,Mercury_7220903,4,6,0.3346908340851466,0.15937912464141846,0.5268323421478271,0.10869460138016684
arc,train,ARC-Easy,Mercury_SC_416457,4,6,0.6282463272412618,0.543684184551239,0.6947511434555054,0.05287532414274215
arc,train,ARC-Easy,Mercury_7015313,4,6,0.8862906197706858,0.8345751166343689,0.9980802536010742,0.060089669931969396
arc,train,ARC-Easy,Mercury_7001663,4,6,0.33624881009260815,0.2884215712547302,0.38473790884017944,0.03689040327695368
arc,train,ARC-Easy,Mercury_7172778,4,6,0.606044719616572,0.4922550320625305,0.738652765750885,0.09682986132563122
arc,train,ARC-Easy,Mercury_7024168,4,6,0.3947867999474208,0.2928278148174286,0.4363197684288025,0.05353212808664382
arc,train,ARC-Easy,Mercury_7150360,4,6,0.5683573087056478,0.47466832399368286,0.6369806528091431,0.06035598777779292
arc,train,ARC-Easy,Mercury_7071558,4,6,0.4131500571966171,0.29415443539619446,0.5209421515464783,0.07543206794814536
arc,train,ARC-Easy,Mercury_7245403,4,6,0.2091954362889131,0.08759021013975143,0.28349414467811584,0.06865977555949795
arc,train,ARC-Easy,Mercury_SC_401822,4,6,0.4914425661166509,0.354613721370697,0.7069942951202393,0.12787030947492095
arc,train,ARC-Easy,OHAT_2007_8_23,4,6,0.43831342955430347,0.3821708559989929,0.5127402544021606,0.04838141404380869
arc,train,ARC-Easy,Mercury_7212380,4,6,0.26207953815658885,0.12155384570360184,0.42766860127449036,0.09264031373436722
arc,train,ARC-Easy,Mercury_414132,4,6,0.37689243753751117,0.2878248691558838,0.43737658858299255,0.053102384803836916
arc,train,ARC-Easy,Mercury_7121800,4,6,0.15760433177153269,0.10785412788391113,0.25177398324012756,0.05002396456076012
arc,train,ARC-Easy,MCAS_2001_8_2,4,6,0.21015176425377527,0.14860878884792328,0.3829280138015747,0.07899428652742038
arc,train,ARC-Easy,Mercury_7121765,4,6,0.5494590749343237,0.4917176365852356,0.6255877017974854,0.04507936935410827
arc,train,ARC-Easy,Mercury_7011165,4,6,0.26163725306590396,0.2238839864730835,0.3002243638038635,0.025713841776890203
arc,train,ARC-Easy,Mercury_7033793,4,6,0.16691365217169127,0.08552505820989609,0.2539028525352478,0.07086627423108874
